author,year,journal,title,url,search_term,site
Elaine J. Francis; Stephen Matthews,2006,NL & LT,Categoriality and Object Extraction in Cantonese Serial Verb Constructions,http://www.jstor.org/stable/27642839,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; intuitive judgment; linguistic intuition judgment; linguistic intuition rating; naturalness judgment; naturalness rating; ordianl ratings; sentence judgment; syntactic judgment,JSTOR (1993-2020)
Cécile De Cat,2007,NL & LT,French Dislocation without Movement,http://www.jstor.org/stable/20532990,acceptability judgement; acceptability rating; naturalness judgement; naturalness rating; sentence judgement; syntactic judgement,JSTOR (1993-2020)
Philip Hofmeister,2010,NL & LT,A linearization account of either ... or constructions,http://www.jstor.org/stable/40856166,acceptability judgment; grammaticality judgment; linguistic intuition judgment; naturalness judgment; sentence judgment; syntactic judgment,JSTOR (1993-2020)
Kie Zuraw,2010,NL & LT,A model of lexical variation and the grammar with application to Tagalog nasal substitution,http://www.jstor.org/stable/40856170,acceptability judgment; acceptability rating; naturalness judgment; naturalness rating; sentence judgment,JSTOR (1993-2020)
Kay González-Vilbazo; Luis López,2012,NL & LT,Little v and parametric variation,http://www.jstor.org/stable/41406445,Likert scale; acceptability judgment; grammaticality judgment; naturalness judgment; sentence judgment; syntactic judgment,JSTOR (1993-2020)
Vera Gribanova,2013,NL & LT,Verb-stranding verb phrase ellipsis and the structure of the Russian verbal complex,http://www.jstor.org/stable/42629731,acceptability judgment; acceptability rating; grammaticality judgement; grammaticality judgment; grammaticality rating; naturalness judgment; naturalness rating; sentence judgment; syntactic judgment,JSTOR (1993-2020)
Andrew Radford; Eiichi Iwasaki,2015,NL & LT,On Swiping in English,http://www.jstor.org/stable/43697782,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; naturalness judgment; naturalness rating; sentence judgment; syntactic judgment,JSTOR (1993-2020)
Jon Sprouse; Ivano Caponigro; Ciro Greco; Carlo Cecchetto,2016,NL & LT,Experimental syntax and the variation of island effects in English and Italian,http://www.jstor.org/stable/43698474,Likert scale; acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; magnitude estimation; naturalness judgment; naturalness rating; sentence judgment; syntactic judgment,JSTOR (1993-2020)
Stefan Keine; Rajesh Bhatt,2016,NL & LT,Interpreting verb clusters,http://www.jstor.org/stable/26179280,Likert scale; acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; naturalness judgment; naturalness rating; sentence judgment; syntactic judgment,JSTOR (1993-2020)
Claudia Poschmann; Michael Wagner,2016,NL & LT,Relative clause extraposition and prosody in German,http://www.jstor.org/stable/24772133,Likert scale; acceptability rating; linguistic intuition rating; magnitude estimation; naturalness rating; ordianl ratings,JSTOR (1993-2020)
Seth Cable,2017,NL & LT,The implicatures of optional past tense in Tlingit and the implications for 'discontinuous past',http://www.jstor.org/stable/45095083,acceptability judgment; acceptability rating; linguistic intuition judgment; linguistic intuition rating; naturalness judgment; naturalness rating; sentence judgment; syntactic judgment,JSTOR (1993-2020)
Dave Kush; Terje Lohndal; Jon Sprouse,2018,NL & LT,Investigating variation in island effects: A case study of Norwegian wh-extraction,http://www.jstor.org/stable/45095230,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; intuitive judgment; linguistic intuition judgment; linguistic intuition rating; magnitude estimation; meta-linguistic judgment; meta-linguistic rating; naturalness judgment; naturalness rating; naïve rating; sentence judgment; syntactic judgment,JSTOR (1993-2020)
Maayan Keshev; Aya Meltzer-Asscher,2019,NL & LT,A processing-based account of subliminal wh-island effects,https://www.jstor.org/stable/45106754,acceptability judgment; acceptability rating; grammaticality judgment; naturalness judgment; naturalness rating; sentence judgment,JSTOR (1993-2020)
Masaya Yoshida; David Potter; Tim Hunter,2019,NL & LT,"Condition C reconstruction, clausal ellipsis and island repair",http://www.jstor.org/stable/45218688,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; intuitive judgment; naturalness judgment; naturalness rating; sentence judgment; syntactic judgment,JSTOR (1993-2020)
Ezra Keshet; David J. Medeiros,2019,NL & LT,Imperatives under coordination,http://www.jstor.org/stable/45199993,Likert scale; acceptability judgment; acceptability rating; intuitive judgment; naturalness judgment; naturalness rating; sentence judgment; syntactic judgment,JSTOR (1993-2020)
Bill Haddican; Anders Holmberg,2019,NL & LT,Object symmetry effects in Germanic: Evidence for the role of case,http://www.jstor.org/stable/45095136,acceptability judgment; acceptability rating; naturalness judgment; naturalness rating; sentence judgment; syntactic judgment,JSTOR (1993-2020)
Benjamin Bruening,2019,NL & LT,Passive do so,http://www.jstor.org/stable/45095134,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; naturalness judgment; naturalness rating; sentence judgment; syntactic judgment,JSTOR (1993-2020)
Peter Jurgec; Jessamyn Schertz,2020,NL & LT,Postalveolar co-occurrence restrictions in Slovenian,https://www.jstor.org/stable/48741727,Likert scale; acceptability judgment; acceptability rating; naturalness judgment; naturalness rating,JSTOR (1993-2020)
Akira Omaki; Shin Fukuda; Chizuru Nakao; Maria Polinsky,2020,NL & LT,"Subextraction in Japanese and subject-object symmetry

",https://www.jstor.org/stable/48741730,Likert scale; acceptability judgment; acceptability rating; linguistic intuition judgment; linguistic intuition rating; naturalness judgment; naturalness rating; sentence judgment; syntactic judgment,JSTOR (1993-2020)
Adrian Stegovec,2020,NL & LT,Taking case out of the Person-Case Constraint,https://www.jstor.org/stable/48741667,grammaticality judgment; linguistic intuition judgment; naturalness judgment; sentence judgment; syntactic judgment,JSTOR (1993-2020)
Eman Al Khalaf,2021,NL & LT,Furthest conjunct agreement in Jordanian Arabic,https://doi.org/10.1007/s11049-021-09515-0,Likert scale; acceptability judgment; acceptability rating; sentence judgment; syntactic judgment,Springer (2021-2023)
Urtzi Etxeberria; Susagna Tubau; ... M. Teresa Espinal,2021,NL & LT,Polarity Items in Basque,https://doi.org/10.1007/s11049-021-09513-2,Likert scale; acceptability judgement; grammaticality judgement; sentence judgement; syntactic judgement,Springer (2021-2023)
Aaron Doliana; Sandhya Sundaresan,2021,NL & LT,Proxy control,https://doi.org/10.1007/s11049-020-09501-y,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; naïve rating; sentence judgment; syntactic judgment,Springer (2021-2023)
Evripidis Tsiakmakis; Joan Borràs-Comes; M. Teresa Espinal,2022,NL & LT,"Greek non-negative min, epistemic modality, and positive bias",https://doi.org/10.1007/s11049-022-09565-y,acceptability judgement; acceptability rating; linguistic intuition judgement; linguistic intuition rating; naturalness judgement; naturalness rating; sentence judgement; syntactic judgement,Springer (2021-2023)
Jutta M. Hartmann; Caroline Heycock,2022,NL & LT,Person effects in agreement with Icelandic low nominatives: An experimental investigation,https://doi.org/10.1007/s11049-022-09564-z,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; magnitude estimation; naturalness judgment; naturalness rating; sentence judgment; syntactic judgment; thermometer rating(s),Springer (2021-2023)
Anne Mucha; Agata Renans; Jacopo Romoli,2022,NL & LT,Sequence of tense and cessation implicatures: evidence from Polish,https://doi.org/10.1007/s11049-022-09545-2,acceptability judgment; ordinal ratings; sentence judgment; syntactic judgment,Springer (2021-2023)
Marwan Jarrah,2023,NL & LT,Passive vs. unaccusative predicates: A phase-based account,https://doi.org/10.1007/s11049-023-09568-3,acceptability judgement; grammaticality judgement; sentence judgement; syntactic judgement,Springer (2021-2023)
Nicholas Sobin,1997,Linguistic Inquiry,"Agreement, Default Rules, and Grammatical Viruses",http://www.jstor.org/stable/4178979,acceptability rating; grammaticality rating; naturalness rating,JSTOR (1993-2018)
Ayumi Matsuo,1999,Linguistic Inquiry,Reciprocity and Binding in Early Child Grammar,http://www.jstor.org/stable/4179064,sentence judgment; syntactic judgment,JSTOR (1993-2018)
Judy B. Bernstein; Wayne Cowart; Dana Mcdaniel,1999,Linguistic Inquiry,Bare Singular Effects in Genitive Constructions,http://www.jstor.org/stable/4179075,acceptability rating; grammaticality rating; linguistic intuition rating,JSTOR (1993-2018)
William Snyder,2000,Linguistic Inquiry,An Experimental Investigation of Syntactic Satiation Effects,http://www.jstor.org/stable/4179121,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; sentence judgment; syntactic judgment,JSTOR (1993-2018)
Charles Clifton; Jr.; Gisbert Fanselow; Lyn Frazier,2006,Linguistic Inquiry,Amnestying Superiority Violations: Processing Multiple Questions,http://www.jstor.org/stable/4179350,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; intuitive judgment; linguistic intuition judgment; linguistic intuition rating; sentence judgment; syntactic judgment,JSTOR (1993-2018)
Chung-Hye Han; Jeffrey Lidz; Julien Musolino,2007,Linguistic Inquiry,V-Raising and Grammar Competition in Korean: Evidence from Negation and Quantifier Scope,http://www.jstor.org/stable/4179396,grammaticality judgment; sentence judgment; syntactic judgment,JSTOR (1993-2018)
Jon Sprouse,2009,Linguistic Inquiry,Revisiting Satiation: Evidence for an Equalization Response Strategy,http://www.jstor.org/stable/40284316,acceptability judgment; acceptability rating; grammaticality judgment; grammaticality rating; magnitude estimation; naturalness judgment; naturalness rating; naïve rating; sentence judgment; syntactic judgment,JSTOR (1993-2018)
Charles Clifton; Jr.; Lyn Frazier,2010,Linguistic Inquiry,When Are Downward-Entailing Contexts Identified? The Case of the Domain Widener Ever,http://www.jstor.org/stable/40926400,acceptability judgment; acceptability rating; sentence judgment; syntactic judgment,JSTOR (1993-2018)
Dominique Sportiche,2011,Linguistic Inquiry,French Relative Qui,http://www.jstor.org/stable/23011909,sentence judgment; syntactic judgment,JSTOR (1993-2018)
